"","Pin25307","Pin25708","Pin25825","Pin27584","Pin35790","Pin35791"
"Cellulomonas sp. H30R-01",589,1019,778,690,867,962
"Cellulomonas sp. JZ18",412,625,491,530,539,644
"Cellulomonas sp. PSBB021",485,749,649,582,821,828
"Cellulomonas sp. Y8",490,887,671,728,815,903
"Cellulomonas sp. zg-ZUI157",291,520,375,408,496,537
"Cellulomonas sp. zg-ZUI188",1521,1347,1788,1208,1357,2171
"Cellulomonas sp. zg-ZUI222",334,579,406,442,573,532
"Cellulomonas taurus",263,431,297,406,461,432
"Oerskovia sp. KBS0722",496,631,478,414,452,604
"Paraoerskovia marina",158,356,248,255,359,317
"Pseudactinotalea sp. HY158",207,415,280,328,360,379
"Brachybacterium avium",111,199,184,165,161,207
"Brachybacterium faecium",130,235,175,192,212,252
"Brachybacterium ginsengisoli",134,301,208,259,219,287
"Brachybacterium saurashtrense",171,286,215,218,249,233
"Brachybacterium sp. CBA3105",234,358,272,255,282,371
"Brachybacterium sp. P6-10-X1",151,279,179,221,229,229
"Brachybacterium sp. SGAir0954",170,269,253,266,271,306
"Brachybacterium vulturis",108,213,151,169,227,210
"Dermabacter jinjuensis",153,175,196,184,195,205
"Dermabacter vaginalis",119,211,200,170,237,235
"Devriesea agamarum",29,49,44,54,42,57
"Allobranchiibius sp. GilTou73",309,623,414,517,687,579
"Dermacoccus nishinomiyaensis",321,689,401,503,615,580
"Dermacoccus sp. PAMC28757",213,397,232,362,435,415
"Luteipulveratus mongoliensis",351,838,466,572,764,700
"Yimella sp. cx-51",230,419,253,311,373,368
"Austwickia chelonae",109,196,146,149,192,216
"Dermatophilus congolensis",32,49,42,28,60,52
"Gephyromycinifex aptenodytis",121,214,139,177,241,234
"Arsenicicoccus sp. oral taxon 190",427,898,476,748,1017,995
"Intrasporangium calvum",727,1567,616,1508,2315,2110
"Janibacter indicus",293,612,373,469,621,775
"Janibacter limosus",302,701,395,493,687,679
"Janibacter melonis",489,1011,508,694,950,1105
"Janibacter sp. YB324",250,521,234,307,454,477
"Pedococcus dokdonensis",1148,1984,654,1750,1977,1787
"Phycicoccus endophyticus",729,1380,534,1090,1470,2644
"Phycicoccus sp. HDW14",1372,2463,931,2091,3077,5516
"Tetrasphaera sp. HKS02",783,1448,502,1192,1579,1356
"Jonesia denitrificans",0,34,28,35,36,30
"Kytococcus sedentarius",255,590,365,409,504,525
"Agreia sp. COWG",153,280,239,197,260,346
"Agrococcus carbonis",253,531,377,376,466,486
"Agrococcus jejuensis",266,497,403,349,332,486
"Agrococcus sp. Marseille-Q4369",240,429,286,361,384,450
"Agrococcus sp. SGAir0287",229,420,366,311,326,404
"Agromyces aureus",855,1004,1643,698,558,3319
"Agromyces badenianii",542,953,1392,528,387,4219
"Agromyces flavus",446,843,1078,615,502,2840
"Agromyces intestinalis",353,612,742,465,417,1707
"Agromyces laixinhei",495,735,1108,388,350,3138
"Agromyces marinus",409,721,794,403,415,1709
"Agromyces protaetiae",373,678,736,438,397,1520
"Agromyces sp. G127AT",263,467,472,311,340,963
"Agromyces sp. LHK192",370,748,891,582,432,2054
"Aquiluna borgnonia",0,41,36,0,0,35
"Aquiluna Candidatus Aquiluna sp. UB-MaderosW2red",0,0,0,0,0,22
"Aurantimicrobium photophilum",28,0,27,24,31,34
"Chryseoglobus indicus",87,191,140,137,105,195
"Chryseoglobus sp. 28M-23",126,182,161,153,177,192
"Clavibacter michiganensis",1009,1811,1605,1403,1570,2130
"Clavibacter sp. A6099",67,171,118,134,146,188
"Clavibacter zhangzhiyongii",135,228,182,198,189,222
"Cnuibacter physcomitrellae",266,539,411,367,414,541
"Cryobacterium arcticum",213,315,329,273,268,322
"Cryobacterium soli",144,223,225,203,247,277
"Cryobacterium sp. LW097",212,262,264,256,255,362
"Cryobacterium sp. PAMC25264",106,144,169,145,158,234
"Curtobacterium flaccumfaciens",296,545,360,386,436,556
"Curtobacterium sp. 24E2",198,195,206,180,185,264
"Curtobacterium sp. BH-2-1-1",157,321,209,265,307,326
"Curtobacterium sp. C1",0,189,134,224,141,205
"Curtobacterium sp. Csp2",183,204,193,168,303,202
"Curtobacterium sp. L6-1",178,269,217,241,261,284
"Curtobacterium sp. MR_MD2014",160,293,165,197,235,229
"Curtobacterium sp. SGAir0471",129,246,210,163,154,211
"Curtobacterium sp. TC1",138,230,157,176,203,260
"Curtobacterium sp. TXMA1",122,203,163,147,161,190
"Curtobacterium sp. YC1",163,232,192,217,219,292
"Diaminobutyricimonas sp. LJ205",171,335,288,218,297,349
"Frigoribacterium sp. NBH87",235,406,349,297,367,456
"Frondihabitans sp. 762G35",183,358,268,269,429,370
"Frondihabitans sp. PAMC 28766",195,417,340,308,351,391
"Glaciihabitans sp. INWT7",177,243,246,211,231,252
"Gryllotalpicola protaetiae",221,466,319,394,413,425
"Herbiconiux sp. SALV-R1",284,370,338,345,388,476
"Humibacter sp. WJ7-1",264,476,343,389,381,511
"Leifsonia shinshuensis",342,588,431,511,487,611
"Leifsonia sp. 21MFCrub1.1",406,794,641,694,689,820
"Leifsonia sp. PS1209",287,423,402,410,382,545
"Leifsonia sp. ZF2019",219,422,340,440,416,484
"Leifsonia xyli",167,306,258,233,278,335
"Leucobacter coleopterorum",44,61,65,50,47,60
"Leucobacter denitrificans",32,62,66,55,53,75
"Leucobacter insecticola",74,91,90,69,92,105
"Leucobacter luti",75,107,90,77,102,105
"Leucobacter muris",182,321,271,213,248,388
"Leucobacter sp. CX169",170,218,137,193,211,247
"Leucobacter sp. NB 10",171,260,268,209,224,305
"Leucobacter sp. Psy1",119,250,185,181,236,218
"Leucobacter triazinivorans",259,436,398,354,370,382
"Leucobacter viscericola",56,95,99,80,77,122
"Marisediminicola antarctica",196,366,287,263,300,361
"Microbacterium amylolyticum",82,165,124,133,145,138
"Microbacterium atlanticum",425,690,873,433,376,1005
"Microbacterium aurum",283,321,476,301,306,495
"Microbacterium binotii",132,147,144,134,116,189
"Microbacterium caowuchunii",208,400,447,275,266,469
"Microbacterium chengjingii",57,121,120,105,89,125
"Microbacterium chocolatum",253,425,458,277,251,524
"Microbacterium cremeum",446,765,953,453,426,1080
"Microbacterium endophyticum",62,126,130,64,107,148
"Microbacterium esteraromaticum",202,285,336,219,234,331
"Microbacterium fandaimingii",92,127,168,117,116,182
"Microbacterium foliorum",499,769,818,503,569,964
"Microbacterium hominis",1635,2792,3167,1828,1903,3436
"Microbacterium hydrocarbonoxydans",125,266,329,182,173,302
"Microbacterium lemovicicum",368,661,740,355,401,846
"Microbacterium lushaniae",212,411,382,236,250,378
"Microbacterium luteum",312,624,617,343,381,601
"Microbacterium oleivorans",385,643,678,385,437,790
"Microbacterium oryzae",209,367,307,283,276,439
"Microbacterium oxydans",331,473,464,359,437,525
"Microbacterium paludicola",99,157,211,99,98,154
"Microbacterium paraoxydans",174,273,283,247,327,411
"Microbacterium protaetiae",252,395,417,272,293,465
"Microbacterium pygmaeum",682,846,982,456,408,1182
"Microbacterium resistens",243,400,307,328,287,456
"Microbacterium schleiferi",220,404,453,340,249,474
"Microbacterium sediminis",316,580,460,384,446,582
"Microbacterium sp. 1.5R",259,305,367,0,255,438
"Microbacterium sp. 10M-3C3",329,594,719,385,352,697
"Microbacterium sp. 1S1",184,248,319,249,255,360
"Microbacterium sp. 4R-513",470,870,1105,509,516,1037
"Microbacterium sp. A18JL241",242,295,372,226,247,392
"Microbacterium sp. ABRD_28",273,458,529,241,258,494
"Microbacterium sp. BH-3-3-3",256,431,414,274,287,501
"Microbacterium sp. CBA3102",261,289,343,230,215,371
"Microbacterium sp. CGR1",231,555,491,441,261,525
"Microbacterium sp. cx-55",258,361,414,261,256,490
"Microbacterium sp. H1-D42",170,333,365,223,287,421
"Microbacterium sp. JZ31",281,529,494,303,348,577
"Microbacterium sp. LKL04",232,353,372,221,218,425
"Microbacterium sp. NIBRBAC000506063",308,591,565,402,350,653
"Microbacterium sp. No. 7",440,846,763,562,565,847
"Microbacterium sp. Nx66",183,281,259,220,241,314
"Microbacterium sp. PAMC22086",143,132,135,110,96,185
"Microbacterium sp. PM5",215,321,364,270,229,412
"Microbacterium sp. RG1",91,158,163,115,131,177
"Microbacterium sp. SGAir0570",138,145,120,105,122,164
"Microbacterium sp. str. 'China'",186,188,148,0,0,203
"Microbacterium sp. TPU 3598",233,281,269,210,207,309
"Microbacterium sp. XT11",256,300,335,222,273,367
"Microbacterium sp. Y-01",264,364,408,242,293,470
"Microbacterium sp. YJN-G",315,469,458,316,319,538
"Microbacterium testaceum",236,371,333,248,268,426
"Microbacterium wangchenii",201,352,379,237,256,459
"Microcella alkaliphila",153,271,264,209,257,284
"Microcella flavibacter",272,468,451,352,442,535
"Microterricola viridarii",1217,871,987,656,648,1066
"Mycetocola sp. JXN-3",113,121,122,121,118,163
"Mycetocola sp. MSC19",89,122,96,102,104,121
"Mycetocola zhujimingii",106,155,167,148,134,205
"Plantibacter flavus",104,191,184,145,164,265
"Plantibacter sp. M259",155,222,227,107,189,244
"Plantibacter sp. PA-3-X8",142,214,368,134,404,312
"Pontimonas salivibrio",0,21,25,22,0,26
"Protaetiibacter intestinalis",433,590,737,447,480,536
"Protaetiibacter larvae",331,499,531,347,410,475
"Protaetiibacter sp. SSC-01",328,634,639,410,448,561
"Pseudoclavibacter sp. Marseille-Q3772",50,67,55,48,64,64
"Rathayibacter festucae",317,593,480,463,538,652
"Rathayibacter iranicus",76,175,150,115,136,150
"Rathayibacter rathayi",77,131,149,116,134,204
"Rathayibacter sp. VKM Ac-2759",260,424,332,287,378,473
"Rathayibacter sp. VKM Ac-2760",236,397,278,301,296,406
"Rathayibacter sp. VKM Ac-2762",97,196,136,119,153,245
"Rathayibacter sp. VKM Ac-2801",112,228,200,158,196,247
"Rathayibacter sp. VKM Ac-2804",244,302,207,240,268,366
"Rathayibacter sp. VKM Ac-2805",100,146,123,127,149,162
"Rathayibacter tanaceti",141,288,210,234,224,317
"Rathayibacter toxicus",30,52,60,63,60,72
"Rathayibacter tritici",111,161,111,134,108,188
"Rhodoluna limnophila",0,0,0,26,0,0
"Salinibacterium hongtaonis",82,128,129,75,105,148
"Salinibacterium sp. dk2585",177,255,240,160,195,278
"Salinibacterium sp. M195",56,84,96,85,68,91
"Salinibacterium sp. UTAS2018",84,95,125,75,92,113
"Salinibacterium sp. ZJ450",221,400,383,314,308,482
"Salinibacterium sp. ZJ70",215,366,373,255,238,349
"Subtercola sp. AK-R2A1-2",175,278,245,198,243,272
"Subtercola sp. PAMC28395",134,174,181,161,238,224
"Arthrobacter agilis",263,477,347,392,417,517
"Arthrobacter alpinus",348,391,366,314,330,420
"Arthrobacter crystallopoietes",268,394,340,334,346,365
"Arthrobacter dokdonellae",119,197,132,176,210,228
"Arthrobacter jiangjiafuii",96,149,112,139,152,170
"Arthrobacter sp. 24S4-2",547,872,256,841,496,427
"Arthrobacter sp. C1-1",56,70,39,46,52,54
"Arthrobacter sp. D5-1",144,169,120,134,150,101
"Arthrobacter sp. ERGS1:01",182,247,156,191,189,188
"Arthrobacter sp. FB24",469,480,188,891,276,347
"Arthrobacter sp. FW305-BF8",224,458,204,336,315,250
"Arthrobacter sp. FW306-05-C",302,0,0,169,259,189
"Arthrobacter sp. FW306-06-A",0,254,0,198,0,189
"Arthrobacter sp. FW306-07-I",0,240,0,185,0,0
"Arthrobacter sp. FW306-2-2C-D06B",238,365,139,273,177,193
"Arthrobacter sp. KBS0702",350,479,221,1226,448,362
"Arthrobacter sp. NicSoilB11",0,219,0,217,0,145
"Arthrobacter sp. NicSoilB4",1066,2368,384,2762,549,2843
"Arthrobacter sp. NicSoilB8",3450,3943,489,6033,3862,1518
"Arthrobacter sp. NicSoilC5",178,246,166,227,186,201
"Arthrobacter sp. NtRootA1",99,130,87,135,121,100
"Arthrobacter sp. PAMC 25486",103,154,122,135,152,126
"Arthrobacter sp. PAMC25284",211,324,138,371,259,253
"Arthrobacter sp. PAMC25564",454,652,205,902,554,443
"Arthrobacter sp. PGP41",152,197,117,229,191,190
"Arthrobacter sp. PM3",1131,1502,252,2007,1251,675
"Arthrobacter sp. QXT-31",196,442,203,330,308,273
"Arthrobacter sp. StoSoilA2",0,110,0,104,89,70
"Arthrobacter sp. StoSoilB13",0,137,0,84,141,125
"Arthrobacter sp. StoSoilB19",0,0,316,218,240,156
"Arthrobacter sp. StoSoilB20",115,116,100,137,108,97
"Arthrobacter sp. StoSoilB5",111,151,85,180,137,139
"Arthrobacter sp. U41",589,981,358,1279,530,1322
"Arthrobacter sp. UKPF54-2",350,507,232,1039,405,368
"Arthrobacter sp. YN",66,128,150,114,99,90
"Arthrobacter sulfonylureivorans",132,250,283,214,232,264
"Arthrobacter sunyaminii",88,130,122,122,150,125
"Arthrobacter woluwensis",138,222,188,157,196,229
"Auritidibacter sp. NML130574",34,43,40,37,47,47
"Citricoccus sp. SGAir0253",151,334,243,267,291,330
"Glutamicibacter arilaitensis",47,84,57,48,60,88
"Glutamicibacter creatinolyticus",86,133,115,140,134,149
"Glutamicibacter halophytocola",53,92,72,85,56,80
"Glutamicibacter mishrai",48,60,50,46,55,67
"Glutamicibacter nicotianae",152,201,233,175,196,206
"Glutamicibacter protophormiae",203,264,307,277,296,283
"Kocuria flava",215,401,276,335,366,354
"Kocuria indica",0,67,68,65,0,80
"Kocuria palustris",149,365,237,227,294,297
"Kocuria rhizophila",199,306,270,303,386,374
"Kocuria rosea",270,529,362,356,359,463
"Kocuria sp. KD4",0,100,73,67,96,73
"Kocuria sp. TGY1127_2",45,103,60,69,70,58
"Kocuria turfanensis",213,409,225,309,318,348
"Kocuria varians",163,219,172,179,173,212
"Micrococcus luteus",510,1066,949,968,942,917
"Micrococcus sp. KD337-16",129,266,188,196,223,259
"Neomicrococcus aestuarii",67,48,97,81,65,63
"Nesterenkonia sp. NBAIMH1",67,124,104,91,124,131
"Paenarthrobacter aurescens",165,150,236,220,190,210
"Paenarthrobacter nicotinovorans",0,79,0,0,0,65
"Paenarthrobacter sp. YJN-5",0,78,0,121,92,127
"Paenarthrobacter sp. YJN-D",0,93,0,0,111,0
"Paenarthrobacter ureafaciens",164,259,214,239,136,242
"Paeniglutamicibacter sp. Y32M11",76,67,174,75,75,101
"Pseudarthrobacter chlorophenolicus",102,170,89,157,181,157
"Pseudarthrobacter equi",156,166,110,163,145,150
"Pseudarthrobacter phenanthrenivorans",143,214,127,207,171,205
"Pseudarthrobacter psychrotolerans",164,282,140,261,227,192
"Pseudarthrobacter sp. BIM B-2242",210,210,161,226,130,190
"Pseudarthrobacter sp. L1SW",92,149,78,175,138,150
"Pseudarthrobacter sp. NBSH8",132,174,141,176,122,128
"Pseudarthrobacter sp. NIBRBAC000502770",119,150,120,211,141,98
"Pseudarthrobacter sp. NIBRBAC000502771",0,149,0,137,140,149
"Pseudarthrobacter sp. NIBRBAC000502772",181,221,142,252,168,220
"Pseudarthrobacter sulfonivorans",186,263,193,250,198,226
"Psychromicrobium lacuslunae",33,64,37,43,48,58
"Renibacterium salmoninarum",25,23,28,29,0,28
"Rothia aeria",0,33,0,0,32,46
"Rothia amarae",0,0,58,0,0,52
"Rothia dentocariosa",33,34,0,0,29,36
"Rothia kristinae",188,344,251,281,346,447
"Rothia mucilaginosa",47,74,88,58,89,86
"Rothia nasimurium",0,84,53,48,70,50
"Sinomonas atrocyanea",262,566,335,403,449,435
"Sinomonas sp. R1AF57",194,361,293,308,312,352
"Ornithinimicrobium avium",329,741,484,588,725,684
"Ornithinimicrobium ciconiae",227,449,308,376,453,508
"Ornithinimicrobium flavum",291,635,393,500,617,622
"Ornithinimicrobium pratense",181,454,264,277,385,410
"Ornithinimicrobium sp. HY006",277,590,301,415,494,535
"Ornithinimicrobium sp. INDO-MA30-4",90,118,122,88,125,133
"Serinicoccus chungangensis",243,599,316,416,628,515
"Serinicoccus hydrothermalis",243,566,334,387,491,559
"Serinicoccus marinus",234,469,275,390,440,487
"Serinicoccus profundi",260,584,316,416,494,479
"Cellulosimicrobium cellulans",996,1686,1172,1170,1260,1549
"Cellulosimicrobium sp. 72-3",0,212,104,0,142,122
"Cellulosimicrobium sp. BI34T",268,499,336,342,409,455
"Cellulosimicrobium sp. JZ28",0,167,105,183,139,214
"Cellulosimicrobium sp. TH-20",0,172,149,131,158,149
"Isoptericola dokdonensis",279,583,392,377,493,516
"Isoptericola variabilis",321,714,445,421,561,697
"Xylanimicrobium sp. FW10M-9",291,547,393,436,502,594
"Xylanimonas allomyrinae",240,445,329,373,414,424
"Xylanimonas cellulosilytica",232,487,358,356,334,556
"Ruania alkalisoli",133,241,206,218,239,262
"Ruania Haloactinobacterium kanbiaonis",328,767,514,527,614,656
"Ruania sp. LR1S40",193,340,232,234,324,320
"Ruania sp. M4N3S171",105,213,168,192,206,237
"Ruania zhangjianzhongii",185,356,245,280,311,313
"Sanguibacter keddieii",296,516,372,348,451,466
"Sanguibacter sp. HDW7",187,392,305,331,361,361
"Actinocatenispora sera",359,869,522,994,929,724
"Actinocatenispora thailandica",379,789,488,912,964,811
"Actinoplanes derwentensis",682,859,574,1076,1185,1299
"Actinoplanes friuliensis",1333,1923,1453,1898,1808,2740
"Actinoplanes ianthinogenes",971,1468,902,1821,2113,1530
"Actinoplanes missouriensis",697,1175,667,1346,1490,1491
"Actinoplanes sp. L3-i22",1907,2239,1279,3034,3226,2426
"Actinoplanes sp. N902-109",1004,1488,940,1845,2021,1773
"Actinoplanes sp. OR16",916,1556,949,1746,2029,1920
"Actinoplanes teichomyceticus",853,1049,709,1348,1460,1124
"Catellatospora sp. IY07-71",844,2217,1560,1632,1557,2569
"Dactylosporangium vinaceum",866,2636,1179,3006,2385,2160
"Micromonospora aurantiaca",743,1330,1043,1440,1706,1474
"Micromonospora auratinigra",332,714,436,710,691,761
"Micromonospora carbonacea",443,1011,606,907,990,1056
"Micromonospora chokoriensis",263,1141,788,580,685,1009
"Micromonospora coriariae",374,1117,711,805,732,1112
"Micromonospora coxensis",347,631,420,644,655,763
"Micromonospora craniellae",275,542,381,549,559,620
"Micromonospora echinaurantiaca",450,971,580,919,906,1074
"Micromonospora echinofusca",422,794,529,729,771,913
"Micromonospora echinospora",347,583,399,612,596,710
"Micromonospora endophytica (Xie et al. 2001) Li et al. 2019",323,571,336,565,644,600
"Micromonospora ferruginea",340,687,412,718,740,749
"Micromonospora inositola",603,1052,667,1432,1632,1326
"Micromonospora krabiensis",391,871,603,839,984,1020
"Micromonospora maris",310,611,375,587,594,710
"Micromonospora narathiwatensis",310,586,412,629,660,739
"Micromonospora purpureochromogenes",446,812,595,854,881,1085
"Micromonospora rifamycinica",273,1163,499,684,828,768
"Micromonospora sagamiensis",305,584,374,647,591,651
"Micromonospora siamensis",322,753,448,758,806,788
"Micromonospora sp. B006",302,548,409,565,644,633
"Micromonospora sp. HM134",282,1242,643,735,940,939
"Micromonospora sp. L5",0,795,0,560,625,579
"Micromonospora sp. WMMA2032",307,633,419,627,673,726
"Micromonospora sp. WMMC415",484,920,586,786,853,979
"Micromonospora terminaliae",436,897,511,936,937,946
"Micromonospora tulbaghiae",311,517,284,503,485,545
"Micromonospora viridifaciens",397,712,531,845,784,840
"Micromonospora zamorensis",323,1655,1029,791,782,1300
"Natronosporangium hydrolyticum",293,541,337,529,580,624
"Phytohabitans flavus",535,1210,705,1244,1175,1339
"Phytohabitans suffuscus",736,1475,869,1410,1495,1621
"Plantactinospora sp. BB1",264,468,375,530,516,645
"Plantactinospora sp. BC1",288,568,303,510,519,607
"Plantactinospora sp. KBS50",436,876,466,998,1040,901
"Polymorphospora rubra",468,887,602,923,935,992
"Salinispora tropica",182,347,263,372,488,441
"Verrucosispora sp. NA02020",310,612,363,636,553,622
"Nakamurella antarctica",72,113,89,101,90,114
"Nakamurella multipartita",2351,2789,2470,1633,2411,3066
"Nakamurella panacisegetis",524,711,445,650,775,686
"Nakamurella sp. PAMC28650",414,629,358,556,643,662
"Actinopolymorpha singaporensis",405,999,548,848,1032,962
"Kribbella flavida",1003,3680,1219,2489,3845,5065
"Kribbella qitaiheensis",888,3330,1091,2117,3376,4324
"Aeromicrobium chenweiae",382,891,597,571,685,636
"Aeromicrobium choanae",357,858,533,573,533,639
"Aeromicrobium erythreum",315,875,498,472,562,633
"Aeromicrobium marinum",316,687,413,430,453,499
"Aeromicrobium sp. A1-2",299,693,389,338,442,520
"Aeromicrobium sp. zg-629",265,560,408,352,433,560
"Aeromicrobium yanjiei",363,792,480,513,600,606
"Friedmanniella luteola",946,1598,1194,1020,1049,1451
"Marmoricola scoriae",1278,3135,1109,1728,2187,1576
"Micropruina glycogenica",270,775,666,484,764,781
"Mumia sp. ZJ1417",375,889,680,527,668,771
"Nocardioides anomalus",2375,7565,3825,3442,4028,7319
"Nocardioides aquaticus",973,2143,1239,1172,1692,1828
