"","Total Number of reads for each species across all samples"
"Solidesulfovibrio magneticus",618
"Desulfuromonas soudanensis",1196
"Desulfuromonas sp. AOP6",506
"Desulfuromonas sp. DDH964",1544
"Desulfuromonas versatilis",1984
"Pelobacter propionicus",2310
"Citrifermentans bemidjiense",1266
"Citrifermentans bremense",1453
"Geoalkalibacter subterraneus",1339
"Geobacter benzoatilyticus",775
"Geobacter metallireducens",1266
"Geobacter pickeringii",1733
"Geobacter sp. DSM 9736",533
"Geobacter sp. FeAm09",2661
"Geobacter sp. SVR",2005
"Geobacter sulfurreducens",1768
"Geomonas nitrogeniifigens",1881
"Geomonas oryzisoli",1726
"Geomonas sp. RF6",1722
"Geomonas subterranea",1577
"Geotalea daltonii",552
"Geotalea uraniireducens",1878
"Trichlorobacter lovleyi",618
"Syntrophotalea acetylenica",460
"Syntrophotalea acetylenivorans",297
"Syntrophotalea carbinolica",335
"Anaeromyxobacter dehalogenans",8267
"Anaeromyxobacter sp. Fw109-5",8846
"Anaeromyxobacter sp. K",4511
"Archangium gephyra",4409
"Archangium violaceum",9589
"Cystobacter fuscus",4122
"Melittangium boletus",3416
"Stigmatella aurantiaca",4560
"Haliangium ochraceum",7162
"Labilithrix luteola",9186
"Corallococcus coralloides",5578
"Corallococcus macrosporus",3552
"Corallococcus sp. EGB",2847
"Myxococcus hansupus",2449
"Myxococcus sp. SCHIC003",2162
"Myxococcus stipitatus",2263
"Myxococcus xanthus",4865
"Pyxidicoccus sp. SCPEA002",5430
"Chondromyces crocatus",5207
"Pajaroellobacter abortibovis",172
"Sorangium cellulosum",43241
"Sandaracinus amylolyticus",15647
"Vulgatibacter incomptus",3815
"Desulfobacca acetoxidans",286
"Desulfomonile tiedjei",391
"Dissulfurimicrobium hydrothermale",122
"Syntrophus aciditrophicus",260
"Desulfoglaeba alkanexedens",674
"Syntrophobacter fumaroxidans",1445
"Campylobacter showae",36
"Helicobacter pylori",55
"Hydrogenimonas urashimensis",169
"Nitratifractor salsuginis",189
"Sulfurimonas sp. HSL-3221",267
"Acidiferrobacter sp. SPIII_3",625
"Acidiferrobacter thiooxydans",559
"Sulfuricaulis limicola",2089
"Sulfurifustis variabilis",3770
"Aeromonas caviae",3533
"Aeromonas dhakensis",201
"Aeromonas encheleia",658
"Aeromonas enteropelogenes",414
"Aeromonas hydrophila",3164
"Aeromonas jandaei",384
"Aeromonas media",1392
"Aeromonas rivuli",214
"Aeromonas salmonicida",986
"Aeromonas schubertii",520
"Aeromonas simiae",623
"Aeromonas sp. CA23",113
"Aeromonas sp. FDAARGOS 1409",65
"Aeromonas sp. FDAARGOS 1415",237
"Aeromonas veronii",2121
"Dongshaea marina",52
"Oceanimonas sp. GK1",362
"Tolumonas auensis",36
"Zobellella denitrificans",663
"Alteromonas macleodii",63
"Alteromonas pelagimontana",41
"Glaciecola amylolytica",68
"Hydrocarboniclastica marina",333
"Lacimicrobium alkaliphilum",32
"Saliniradius amylolyticus",23
"Ferrimonas balearica",332
"Pseudoalteromonas rubra",251
"Shewanella algae",674
"Shewanella cyperi",164
"Shewanella marisflavi",157
"Cardiobacterium hominis",370
"Cardiobacterium sp. Marseille-Q4385",232
"Cellvibrio japonicus",138
"Cellvibrio sp. KY-GH-1",245
"Cellvibrio sp. KY-YJ-3",429
"Cellvibrio sp. PSBB006",276
"Cellvibrio sp. PSBB023",309
"Marinagarivorans sp. GE09",33
"Simiduia agarivorans",244
"Teredinibacter purpureus",21
"Teredinibacter turnerae",110
"Aequoribacter fuscus",24
"Congregibacter litoralis",499
"Halioglobus japonicus",288
"Halioglobus maricola",231
"Kineobactrum salinum",565
"Microbulbifer agarilyticus",92
"Microbulbifer aggregans",356
"Microbulbifer celer",254
"Microbulbifer elongatus",224
"Microbulbifer hydrolyticus",269
"Microbulbifer sp. A4B17",32
"Microbulbifer sp. ALW1",288
"Microbulbifer sp. SH-1",378
"Microbulbifer sp. YPW1",237
"Microbulbifer sp. YPW16",420
"Microbulbifer thermotolerans",240
"Spongiibacter nanhainus",213
"Spongiibacter sp. IMCC21906",29
"Zhongshania aliphaticivorans",106
"Allochromatium tepidum",1202
"Allochromatium vinosum",1199
"Caldichromatium japonicum",612
"Marichromatium purpuratum",1711
"Nitrosococcus halophilus",104
"Nitrosococcus wardiae",34
"Nitrosococcus watsonii",66
"Rheinheimera sp. F8",44
"Thermochromatium tepidum",863
"Thiocapsa bogorovii",1485
"Thiocystis violascens",1167
"Thiodictyon Candidatus Thiodictyon syntrophicum",1931
"Thioflavicoccus mobilis",1693
"Acidihalobacter aeolianus",1104
"Acidihalobacter ferrooxydans",922
"Acidihalobacter yilgarnensis",679
"Alkalilimnicola ehrlichii",1029
"Aquisalimonas sp. 2447",1010
"Ectothiorhodosinus mongolicus",135
"Ectothiorhodospira haloalkaliphila",485
"Ectothiorhodospira sp. BSL-9",504
"Halorhodospira halochloris",195
"Halorhodospira halophila",1002
"Spiribacter curvatus",612
"Spiribacter salinus",438
"Spiribacter sp. 2438",518
"Spiribacter sp. E85",1906
"Thioalkalivibrio nitratireducens",1489
"Thioalkalivibrio paradoxus",1646
"Thioalkalivibrio sp. K90mix",845
"Thioalkalivibrio sulfidiphilus",2069
"Thioalkalivibrio versutus",890
"Granulosicoccus antarcticus",270
"Sulfuriflexus mobilis",305
"Halothiobacillus neapolitanus",231
"Halothiobacillus sp. LS2",558
"Guyparkeria halophila",1174
"Sulfurivermis fontis",1370
"Thiohalobacter sp. COW1",957
"Thiohalobacter thiocyanaticus",667
"Wenzhouxiangella marina",1055
"Wenzhouxiangella sp. AB-CW3",752
"Woeseia oceani",700
"Sodalis praecaptivus",215
"Sodalis sp. dw_23",357
"Atlantibacter hermannii",94
"Buttiauxella agrestis",81
"Candidatus Symbiopectobacterium sp. SyEd1",49
"Cedecea lapagei",37
"Cedecea neteri",461
"Cedecea sp. FDAARGOS_727",87
"Citrobacter farmeri",44
"Citrobacter freundii",2095
"Citrobacter rodentium",128
"Citrobacter tructae",40
"Cronobacter condimenti",93
"Cronobacter dublinensis",179
"Cronobacter sakazakii",495
"Cronobacter universalis",48
"Enterobacter asburiae",1038
"Enterobacter cancerogenus",291
"Enterobacter cloacae",2591
"Enterobacter hormaechei",4390
"Enterobacter mori",51
"Enterobacter roggenkampii",323
"Enterobacter sp. JUb54",189
"Enterobacter sp. SA187",116
"Escherichia coli",12989
"Jejubacter calystegiae",122
"Klebsiella aerogenes",482
"Klebsiella michiganensis",579
"Klebsiella oxytoca",600
"Klebsiella pneumoniae",10749
"Klebsiella quasipneumoniae",1859
"Klebsiella variicola",124
"Kluyvera intermedia",279
"Kosakonia arachidis",67
"Kosakonia cowanii",243
"Kosakonia radicincitans",54
"Kosakonia sacchari",253
"Kosakonia sp. SMBL-WEM22",29
"Leclercia adecarboxylata",884
"Leclercia sp. 29361",122
"Leclercia sp. 4-9-1-25",109
"Lelliottia amnigena",479
"Plesiomonas shigelloides",302
"Pluralibacter [Enterobacter] lignolyticus",275
"Pluralibacter gergoviae",621
"Pseudescherichia vulneris",140
"Pseudocitrobacter sp. G163CM",77
"Raoultella planticola",329
"Raoultella sp. HC6",363
"Salmonella bongori",24
"Salmonella enterica",22017
"Scandinavium goeteborgense",58
"Shimwellia blattae",29
"Yokenella regensburgei",112
"Buchnera aphidicola",139
"Erwinia billingiae",263
"Erwinia gerundensis",182
"Erwinia persicina",123
"Erwinia rhapontici",176
"Erwinia sp. E602",311
"Erwinia sp. J780",26
"Erwinia tasmaniensis",61
"Mixta calida",236
"Mixta gaviniae",221
"Mixta intestinalis",26
"Mixta theicola",162
"Pantoea agglomerans",1116
"Pantoea alhagi",34
"Pantoea ananatis",241
"Pantoea cypripedii",128
"Pantoea dispersa",604
"Pantoea rwandensis",64
"Pantoea sp. At-9b",94
"Pantoea sp. CCBC3-3-1",35
"Pantoea sp. MSR2",52
"Pantoea sp. SO10",162
"Pantoea sp. Z09",378
"Pantoea stewartii",146
"Pantoea vagans",498
"Edwardsiella hoshinae",175
"Edwardsiella ictaluri",57
"Edwardsiella tarda",780
"Morganella morganii",536
"Proteus mirabilis",93
"Brenneria goodwinii",237
"Brenneria izadpanahii",355
"Brenneria rubrifaciens",45
"Dickeya chrysanthemi",227
"Dickeya dadantii",523
"Dickeya dianthicola",154
"Dickeya fangzhongdai",125
"Dickeya zeae",468
"Lonsdalea britannica",170
"Lonsdalea populi",151
"Pectobacterium atrosepticum",35
"Pectobacterium brasiliense",180
"Pectobacterium carotovorum",469
"Ewingella americana",142
"Gibbsiella quercinecans",240
"Nissabacter sp. SGAir0207",395
"Rahnella aceris",142
"Rahnella aquatilis",444
"Rahnella inusitata",85
"Rahnella sp. ERMR1:05",109
"Rahnella victoriana",245
"Rouxiella badensis",153
"Serratia entomophila",258
"Serratia fonticola",321
"Serratia grimesii",28
"Serratia liquefaciens",58
"Serratia marcescens",4023
"Serratia odorifera",210
"Serratia plymuthica",578
"Serratia proteamaculans",176
"Serratia rubidaea",473
"Serratia symbiotica",53
"Immundisolibacter cernigliae",2174
"Aquicella lusitana",25
"Aquicella siphonis",95
"Coxiella burnetii",163
"Rickettsiella Candidatus Rickettsiella viridis",36
"Rickettsiella endosymbiont of Dermanyssus gallinae",48
"Legionella geestiana",38
"Legionella pneumophila",49
"Candidatus Methylospira mobilis",445
"Methylocaldum marinum",953
"Methylococcus capsulatus",932
"Methylococcus geothermalis",958
"Methylococcus sp. EFPC2",1122
"Methylococcus sp. Mc7",1298
"Methylogaea oryzae",1000
"Methylomagnum ishizawai",1072
"Methylomicrobium album",902
"Methylomicrobium sp. wino1",439
"Methylomonas denitrificans",309
"Methylomonas koyamae",732
"Methylomonas methanica",213
"Methylomonas paludis",73
"Methylomonas rhizoryzae",286
"Methylomonas sp. DH-1",192
"Methylomonas sp. EFPC1",107
"Methylomonas sp. LL1",442
"Methylomonas sp. LW13",282
"Methylotuvimicrobium alcaliphilum",235
"Methylotuvimicrobium buryatense",165
"Methylovulum psychrotolerans",171
"Acinetobacter calcoaceticus",39
"Acinetobacter johnsonii",496
"Acinetobacter radioresistens",66
"Acinetobacter sp. WCHAc010034",187
"Aquirhabdus parva",54
"Moraxella osloensis",42
"Flagellatimonas centrodinii",941
"Sinimarinibacterium sp. NLF-5-8",927
"Solimonas sp. K1W22B-7",2785
"Steroidobacter denitrificans",4202
"Alcanivorax dieselolei",492
"Alcanivorax pacificus",799
"Alcanivorax sp. N3-2A",1448
"Alcanivorax xenomutans",520
"Ketobacter alkanivorans",102
"Endozoicomonas montiporae",21
"Hahella chejuensis",234
"Hahella sp. KA22",239
"Chromohalobacter salexigens",724
"Cobetia sp. cqz5-12",536
"Cobetia sp. L2A1",553
"Halomonas aestuarii",826
"Halomonas beimenensis",993
"Halomonas chromatireducens",550
"Halomonas elongata",590
"Halomonas huangheensis",324
"Halomonas meridiana",1044
"Halomonas piezotolerans",507
"Halomonas profundi",51
"Halomonas socia",865
"Halomonas sp. 1513",898
"Halomonas sp. 18071143",147
"Halomonas sp. A40-4",268
"Halomonas sp. FeN2",156
"Halomonas sp. HG01",728
"Halomonas sp. JS92-SW72",1154
"Halomonas sp. KO116",125
"Halomonas sp. MCCC 1A13316",637
"Halomonas sp. PGE1",978
"Halomonas sp. R57-5",120
"Halomonas sp. SH5A2",150
"Halomonas sp. THAF12",826
"Halomonas sp. THAF5a",1114
"Halomonas sp. Y2R2",299
"Halomonas sp. YLGW01",668
"Halomonas subglaciescola",383
"Halomonas sulfidivorans",770
"Halomonas tianxiuensis",778
"Halomonas titanicae",312
"Halotalea alkalilenta",1158
"Kushneria konosiri",226
"Kushneria marisflavi",239
"Kushneria phosphatilytica",282
"Pistricoccus aurantiacus",443
"Salinicola tamaricis",949
"Zymobacter palmae",139
"Litoricola lipolytica",129
"Bacterioplanes sanyensis",52
"Marinobacterium aestuarii",469
"Marinobacterium georgiense",284
"Marinobacterium sediminicola",192
"Nitrincola iocasae",33
"Venatorbacter cucullus",156
"Gynuella sunshinyii",22
"Reinekea forsetii",126
"Saccharospirillum mangrovi",302
"Marinobacter fonticola",356
"Marinobacter nauticus",476
"Marinobacter salarius",410
"Marinobacter salinus",171
"Marinobacter salsuginis",243
"Marinobacter similis",259
"Marinobacter sp. Arc7-DN-1",378
"Marinobacter sp. CA1",367
"Marinobacter sp. CP1",99
"Marinobacter sp. es.042",73
"Marinobacter sp. JH2",40
"Marinobacter sp. LPB0319",265
"Marinobacter sp. LQ44",74
"Marinobacter sp. LV10R510-11A",74
"Marinobacter sp. NP-4(2019)",343
"Azotobacter chroococcum",1502
"Azotobacter salinestris",739
"Halopseudomonas aestusnigri",565
"Halopseudomonas litoralis",349
"Halopseudomonas sabulinigri",273
"Halopseudomonas salegens",222
"Halopseudomonas sp. RR6",342
"Halopseudomonas xinjiangensis",351
"Permianibacter aggregans",409
"Pseudomonas aeruginosa",32685
"Pseudomonas agarici",277
"Pseudomonas alcaligenes",2006
"Pseudomonas alcaliphila",289
"Pseudomonas alkylphenolica",644
"Pseudomonas allokribbensis",254
"Pseudomonas alvandae",406
"Pseudomonas amygdali",141
"Pseudomonas antarctica",352
"Pseudomonas anuradhapurensis",42
"Pseudomonas argentinensis",595
"Pseudomonas arsenicoxydans",526
"Pseudomonas asgharzadehiana",400
"Pseudomonas asplenii",42
"Pseudomonas asturiensis",652
"Pseudomonas atacamensis",194
"Pseudomonas azerbaijanoriens",783
"Pseudomonas azotoformans",814
"Pseudomonas balearica",2516
"Pseudomonas brassicacearum",1784
"Pseudomonas brenneri",225
"Pseudomonas campi",682
"Pseudomonas cavernae",1081
"Pseudomonas cedrina",276
"Pseudomonas chloritidismutans",35
"Pseudomonas chlororaphis",4516
"Pseudomonas cichorii",547
"Pseudomonas citronellolis",1055
"Pseudomonas congelans",272
"Pseudomonas coronafaciens",380
"Pseudomonas corrugata",350
"Pseudomonas cremoricolorata",428
"Pseudomonas entomophila",931
"Pseudomonas eucalypticola",572
"Pseudomonas extremaustralis",335
"Pseudomonas fakonensis",307
"Pseudomonas fluorescens",10666
"Pseudomonas fragi",373
"Pseudomonas frederiksbergensis",1377
"Pseudomonas fulva",757
"Pseudomonas furukawaii",1100
"Pseudomonas fuscovaginae",157
"Pseudomonas gozinkensis",178
"Pseudomonas graminis",767
"Pseudomonas granadensis",410
"Pseudomonas guangdongensis",781
"Pseudomonas hamedanensis",353
"Pseudomonas iranensis",91
"Pseudomonas khazarica",56
"Pseudomonas knackmussii",2126
"Pseudomonas koreensis",609
"Pseudomonas kribbensis",333
"Pseudomonas kunmingensis",122
"Pseudomonas lactis",300
"Pseudomonas lalkuanensis",870
"Pseudomonas libanensis",134
"Pseudomonas lini",1439
"Pseudomonas lundensis",304
"Pseudomonas lurida",330
"Pseudomonas mandelii",600
"Pseudomonas marincola",444
"Pseudomonas maumuensis",239
"Pseudomonas mediterranea",376
"Pseudomonas mendocina",2035
"Pseudomonas migulae",702
"Pseudomonas monsensis",46
"Pseudomonas monteilii",414
"Pseudomonas moraviensis",304
"Pseudomonas mosselii",551
"Pseudomonas mucidolens",271
"Pseudomonas multiresinivorans",500
"Pseudomonas muyukensis",391
"Pseudomonas nanhaiensis",640
"Pseudomonas nitroreducens",142
"Pseudomonas ogarae",207
"Pseudomonas oleovorans",741
"Pseudomonas orientalis",829
"Pseudomonas oryzae",1262
"Pseudomonas oryzihabitans",1403
"Pseudomonas oryziphila",52
"Pseudomonas otitidis",1294
"Pseudomonas palleroniana",286
"Pseudomonas parafulva",716
"Pseudomonas phragmitis",385
"Pseudomonas plecoglossicida",766
"Pseudomonas poae",898
"Pseudomonas pohangensis",539
"Pseudomonas promysalinigenes",338
"Pseudomonas prosekii",409
"Pseudomonas protegens",14334
"Pseudomonas psychrophila",182
"Pseudomonas psychrotolerans",1469
"Pseudomonas putida",15045
"Pseudomonas qingdaonensis",559
"Pseudomonas reinekei",396
"Pseudomonas resinovorans",1037
"Pseudomonas rhizosphaerae",460
"Pseudomonas rhodesiae",626
"Pseudomonas saudiphocaensis",392
"Pseudomonas sediminis",254
"Pseudomonas sihuiensis",224
"Pseudomonas silesiensis",1106
"Pseudomonas simiae",212
"Pseudomonas sp. 02C 26",113
"Pseudomonas sp. 09C 129",56
"Pseudomonas sp. 14181154",110
"Pseudomonas sp. 15A4",814
"Pseudomonas sp. 2hn",330
"Pseudomonas sp. 3-2",114
"Pseudomonas sp. 31-12",715
"Pseudomonas sp. 7SR1",450
"Pseudomonas sp. ABC1",503
"Pseudomonas sp. ACM7",1015
"Pseudomonas sp. ADAK13",603
"Pseudomonas sp. ADAK18",164
"Pseudomonas sp. ADAK22",236
"Pseudomonas sp. ADPe",1052
"Pseudomonas sp. AO-1",225
"Pseudomonas sp. ATCC 13867",934
"Pseudomonas sp. ATCC 43928",932
"Pseudomonas sp. B10",117
"Pseudomonas sp. B11D7D",357
"Pseudomonas sp. BIOMIG1BAC",127
"Pseudomonas sp. C27(2019)",30
"Pseudomonas sp. CC6-YY-74",689
"Pseudomonas sp. CCOS 191",189
"Pseudomonas sp. CMR5c",417
"Pseudomonas sp. DG56-2",390
"Pseudomonas sp. DNDY-54",396
"Pseudomonas sp. DR 5-09",101
"Pseudomonas sp. DR48",897
"Pseudomonas sp. DTU12.1",250
"Pseudomonas sp. DTU12.3",610
"Pseudomonas sp. DY-1",697
"Pseudomonas sp. FDAARGOS_380",59
"Pseudomonas sp. FIT28",899
"Pseudomonas sp. FIT81",233
"Pseudomonas sp. gcc21",543
"Pseudomonas sp. GR 6-02",687
"Pseudomonas sp. HLS-6",470
"Pseudomonas sp. HN11",210
"Pseudomonas sp. HN2",106
"Pseudomonas sp. HN2-3",417
"Pseudomonas sp. HS-18",130
"Pseudomonas sp. IB20",112
"Pseudomonas sp. IzPS59",240
"Pseudomonas sp. KNUC1026",597
"Pseudomonas sp. L5B5",413
"Pseudomonas sp. LAB-08",984
"Pseudomonas sp. LBUM920",206
"Pseudomonas sp. Leaf58",279
"Pseudomonas sp. LG1E9",340
"Pseudomonas sp. LPB0260",506
"Pseudomonas sp. LPH1",91
"Pseudomonas sp. LS.1a",209
"Pseudomonas sp. LTJR-52",39
"Pseudomonas sp. M30-35",182
"Pseudomonas sp. Marseille-Q3773",315
"Pseudomonas sp. MM211",475
"Pseudomonas sp. MM213",955
"Pseudomonas sp. MPC6",1333
"Pseudomonas sp. MRSN12121",224
"Pseudomonas sp. MSPm1",318
"Pseudomonas sp. MTM4",512
"Pseudomonas sp. NIBR-H-19",454
"Pseudomonas sp. NIBRBAC000502773",58
"Pseudomonas sp. NS1(2017)",189
"Pseudomonas sp. OE 28.3",570
"Pseudomonas sp. OIL-1",487
"Pseudomonas sp. Ost2",676
"Pseudomonas sp. p1(2021b)",878
"Pseudomonas sp. Pc102",433
"Pseudomonas sp. PDNC002",747
"Pseudomonas sp. phDV1",110
"Pseudomonas sp. PP3",762
"Pseudomonas sp. R2A2",151
"Pseudomonas sp. R5-89-07",186
"Pseudomonas sp. R76",71
"Pseudomonas sp. R84",553
"Pseudomonas sp. RC3H12",263
"Pseudomonas sp. RtIB026",246
"Pseudomonas sp. RU47",533
"Pseudomonas sp. S09G 359",330
"Pseudomonas sp. S34",5876
"Pseudomonas sp. S35",267
"Pseudomonas sp. S49",463
"Pseudomonas sp. SC3(2021)",114
"Pseudomonas sp. SCA2728.1_7",1055
"Pseudomonas sp. SCB32",731
"Pseudomonas sp. SDM007",191
"Pseudomonas sp. Seg1",427
"Pseudomonas sp. SGAir0191",36
"Pseudomonas sp. SK3(2021)",65
"Pseudomonas sp. St316",255
"Pseudomonas sp. StFLB209",589
"Pseudomonas sp. TCU-HL1",634
"Pseudomonas sp. Tri1",324
"Pseudomonas sp. URMO17WK12:I11",3319
"Pseudomonas sp. UW4",1166
"Pseudomonas sp. Z003-0.4C(8344-21)",193
"Pseudomonas stutzeri",9756
"Pseudomonas synxantha",924
"Pseudomonas syringae group genomosp. 3",228
"Pseudomonas syringae group genomosp. 7",314
"Pseudomonas syringae",3107
"Pseudomonas taetrolens",246
"Pseudomonas tensinigenes",333
"Pseudomonas thivervalensis",294
"Pseudomonas tohonis",480
"Pseudomonas tolaasii",352
"Pseudomonas toyotomiensis",196
"Pseudomonas tritici",289
"Pseudomonas trivialis",472
"Pseudomonas tructae",294
"Pseudomonas umsongensis",1629
"Pseudomonas vancouverensis",602
"Pseudomonas vanderleydeniana",549
"Pseudomonas veronii",339
"Pseudomonas versuta",190
"Pseudomonas viciae",273
"Pseudomonas viridiflava",1094
"Pseudomonas wenzhouensis",297
"Pseudomonas xantholysinigenes",298
"Pseudomonas xanthomarina",414
"Pseudomonas xanthosomae",301
"Pseudomonas yamanorum",606
"Pseudomonas zarinae",118
"Pseudomonas zeae",1166
"Pseudomonas zhaodongensis",645
"Salinisphaera endosymbiont of unidentified scaly snail isolate Monju",941
"Salinisphaera sp. LB1",1152
"Hydrogenovibrio thermophilus",36
"Thiothrix litoralis",183
"Thiothrix sp. CT3",86
"Thiothrix subterranea",97
"Thiothrix unzii",32
"Candidatus Reidiella endopervernicosa",319
"Photobacterium gaetbulicola",84
"Photobacterium ganghwense",100
"Pseudohongiella spirulinae",142
"Sedimenticola thiotaurini",381
"Thiolapillus brandeum",298
"Vibrio fluvialis",328
"Vibrio furnissii",324
"Vibrio navarrensis",77
"Vibrio parahaemolyticus",64
"Vibrio sp. OG9-811",33
"Vibrio vulnificus",254
"Aerosticca soli",5114
"Ahniella affigens",998
"Dokdonella koreensis",3611
"Dyella caseinilytica",826
"Dyella japonica",1832
"Dyella sp. M7H15-1",505
"Dyella telluris",1670
"Dyella terrae",1184
"Dyella thiooxydans",2099
"Frateuria aurantia",627
"Frateuria sp. 5GH9-11",1888
"Frateuria sp. 5GH9-34",1788
"Luteibacter pinisoli",1647
"Luteibacter rhizovicinus",1726
"Rhodanobacter denitrificans",3346
"Rhodanobacter glycinis",1249
"Rhodanobacter sp. FDAARGOS 1247",2155
"Rhodanobacter thiooxydans",2097
"Arenimonas daejeonensis",6172
"Luteimonas chenhongjianii",1582
"Luteimonas granuli",1990
"Luteimonas sp. D4P002",2282
"Luteimonas sp. JM171",1408
"Luteimonas sp. MC1572",1902
"Luteimonas sp. MC1750",2108
"Luteimonas sp. MC1825",1879
"Luteimonas sp. S4-F44",1758
"Luteimonas sp. YGD11-2",1894
"Luteimonas yindakuii",1699
"Lysobacter alkalisoli",2129
"Lysobacter antibioticus",2874
"Lysobacter arenosi",3224
"Lysobacter capsici",10003
"Lysobacter enzymogenes",5890
"Lysobacter gummosus",3964
"Lysobacter lycopersici",3231
"Lysobacter maris",2318
"Lysobacter oculi",2060
"Lysobacter soli",3765
"Lysobacter solisilvae (ex Kim et al. 2021)",4470
"Lysobacter solisilvae (ex Woo and Kim 2022)",4910
"Lysobacter sp. 5GHs7-4",3697
"Lysobacter sp. CECT 30171",2292
"Lysobacter sp. CJ11",596
"Lysobacter sp. CW239",2806
"Lysobacter sp. H21R20",912
"Lysobacter sp. H21R4",906
"Lysobacter sp. H23M41",1015
"Lysobacter sp. H23M47",1088
"Lysobacter sp. HDW10",427
"Lysobacter sp. K5869",1825
"Lysobacter sp. KIS68-7",5775
"Lysobacter sp. S4-A87",3702
"Lysobacter sp. TY2-98",3307
"Pseudolysobacter antarcticus",1888
"Pseudoxanthomonas daejeonensis",1968
"Pseudoxanthomonas mexicana",5116
"Pseudoxanthomonas sp. X-1",3500
"Pseudoxanthomonas spadix",1820
"Pseudoxanthomonas suwonensis",4105
"Stenotrophomonas acidaminiphila",4573
"Stenotrophomonas indicatrix",108
"Stenotrophomonas maltophilia",15120
"Stenotrophomonas rhizophila",3733
"Stenotrophomonas sp. 169",1330
"Stenotrophomonas sp. 364",896
"Stenotrophomonas sp. DR822",83
"Stenotrophomonas sp. ESTM1D_MKCIP4_1",584
"Stenotrophomonas sp. G4",128
"Stenotrophomonas sp. LM091",1622
"Stenotrophomonas sp. MYb57",120
"Stenotrophomonas sp. NA06056",464
"Stenotrophomonas sp. SAU14A_NAIMI4_5",634
"Stenotrophomonas sp. SAU14A_NAIMI4_8",182
"Stenotrophomonas sp. WZN-1",293
"Stenotrophomonas sp. YAU14D1_LEIMI4_1",209
"Stenotrophomonas sp. ZAC14A_NAIMI4_1",325
"Stenotrophomonas sp. ZAC14D2_NAIMI4_6",240
"Stenotrophomonas sp. ZAC14D2_NAIMI4_7",407
"Thermomonas aquatica",2862
"Thermomonas brevis",2357
"Thermomonas carbonis",4288
"Thermomonas sp. HDW16",1598
"Thermomonas sp. XSG",1789
"Xanthomonas albilineans",852
"Xanthomonas arboricola",2135
"Xanthomonas axonopodis",488
"Xanthomonas campestris",3267
"Xanthomonas cassavae",450
"Xanthomonas citri",6828
"Xanthomonas cucurbitae",582
"Xanthomonas euroxanthea",670
"Xanthomonas euvesicatoria",522
"Xanthomonas fragariae",789
"Xanthomonas hortorum",999
"Xanthomonas hyacinthi",1154
"Xanthomonas hydrangeae",441
"Xanthomonas oryzae",15900
"Xanthomonas phaseoli",631
"Xanthomonas sacchari",1477
"Xanthomonas sp. GW",567
"Xanthomonas sp. MLO165",50
"Xanthomonas sp. SI",560
"Xanthomonas sp. SS",599
"Xanthomonas theicola",1125
"Xanthomonas translucens",4511
"Xanthomonas vasicola",617
"Xanthomonas vesicatoria",1495
"Xylella fastidiosa",243
"Xylella taiwanensis",83
"Hydrogenophilus thermoluteolus",566
"Bacteriovorax stolpii",102
"Bdellovibrio bacteriovorus",297
"Mariprofundus aestuarium",26
"Mariprofundus ferrinatatus",175
"Leptospira sp. severe_002",2386
"Turneriella parva",109
"Spirochaeta africana",28
"Spirochaeta thermophila",290
"Aminomonas paucivorans",259
"Cloacibacillus porcorum",168
"Fretibacterium fastidiosum",209
"Jonquetella anthropi",164
"Thermanaerovibrio acidaminovorans",61
"Thermosulfurimonas marina",54
"Ereboglobus luteus",942
"Lacunisphaera limnophila",3504
"Nibricoccus aquaticus",2134
"Oleiharenicola sp. KSB-15",1511
"Opitutus sp. GAS368",4405
"Opitutus terrae",2908
"Coraliomargarita akajimensis",118
"Ruficoccus sp. ZRK36",498
"Akkermansia glycaniphila",243
"Akkermansia muciniphila",748
"Methylacidimicrobium sp. AP8",489
"Methylacidimicrobium sp. B4",541
"Luteolibacter ambystomatis",1376
"Luteolibacter luteus",1347
"Roseimicrobium sp. ORNL1",1933
"Sulfuriroseicoccus oceanibius",375
"Verrucomicrobium sp. GAS474",1702
"Verrucomicrobium spinosum",1266
"Plasmodium cynomolgi",61
"Besnoitia besnoiti",215
"Cercospora beticola",95
"Zymoseptoria tritici",27
"Aspergillus chevalieri",102
"Aspergillus fumigatus",67
"Aspergillus luchuensis",171
"Talaromyces rugulosus",389
"Botrytis cinerea",327
"Colletotrichum higginsianum",879
"Pochonia chlamydosporia",470
"Ustilaginoidea virens",607
"Fusarium fujikuroi",46
"Fusarium graminearum",634
"Fusarium oxysporum",1681
"Fusarium poae",217
"Fusarium pseudograminearum",236
"Fusarium venenatum",375
"Fusarium verticillioides",170
"Drechmeria coniospora",324
"Pyricularia grisea",62
"Pyricularia oryzae",77
"Pyricularia pennisetigena",44
"Thermothelomyces thermophilus",511
"Thermothielavioides terrestris",608
"Neurospora crassa",287
"Marasmius oreades",129
"Rhizoctonia solani",28
"Ustilago maydis",183
"Leishmania major",42
"Leishmania mexicana",90
"Dictyostelium discoideum",1321
"Brassica napus",391
